municipio,uf,Nome,latitude,longitude, Telefone
ALHANDRA,PB,Não Estamos,-7.43299530218586,-34.9119851554492
ALIANÇA,PE,Não Estamos,-7.60472980846341,-35.228501497065
ALIANÇA DO TOCANTINS,TO,Não Estamos,-11.3037430465089,-48.9412400221409
ALMADINA,BA,Não Estamos,-14.7060477475217,-39.6359031752447
ALMAS,TO,Não Estamos,-11.5745234694478,-47.1741716842358
ALMEIRIM,PA,Estamos,-1.52733880276478,-52.5768350868127
ALMENARA,MG,Estamos,-16.1806161743577,-40.6976511832513
ALMINO AFONSO,RN,Não Estamos,-6.15742069252536,-37.7631253023649
ALMIRANTE TAMANDARÉ,PR,Estamos,-25.3133776022763,-49.3003198184039
ALMIRANTE TAMANDARÉ DO SUL,RS,Não Estamos,-28.1137262870376,-52.9137145496944
ALOÂNDIA,GO,Não Estamos,-17.7249088541556,-49.4823211066406
ALPERCATA,MG,Não Estamos,-18.986831256466,-41.9891291115954
ALPESTRE,RS,Estamos,-27.2487687566901,-53.0373660485512
ALPINÓPOLIS,MG,Estamos,-20.8618546557469,-46.3894825347688
ALTA FLORESTA,MT,Estamos,-9.87172259661951,-56.0916104404738
ALTA FLORESTA D'OESTE,RO,Não Estamos,-11.9355403047646,-61.9998238962936
ALTAIR,SP,Não Estamos,-20.523304881604,-49.0601107542409
ALTAMIRA,PA,Estamos,-3.20565951,-52.2143763052078
ALTAMIRA DO MARANHÃO,MA,Não Estamos,-4.16226926685315,-45.4646758311604
ALTAMIRA DO PARANÁ,PR,Não Estamos,-24.8010001634957,-52.7098074466916
ALTANEIRA,CE,Não Estamos,-6.9974983508052,-39.7458206389421
ALTEROSA,MG,Estamos,-21.2558699519209,-46.1453205614697
ALTINHO,PE,Não Estamos,-8.4895925,-36.0596997585832
ALTINÓPOLIS,SP,Estamos,-21.0245826445728,-47.3732802928901
ALTO ALEGRE,RR,Não Estamos,2.99382294765484,-61.3140223901178
ALTO ALEGRE,RS,Não Estamos,-28.7747455370691,-52.9907552806891
ALTO ALEGRE,SP,Não Estamos,-21.5816894572053,-50.1635967960874
ALTO ALEGRE DO MARANHÃO,MA,Não Estamos,-4.207227,-44.4482474945232
ALTO ALEGRE DO PINDARÉ,MA,Não Estamos,-3.66517037445328,-45.8420796161705
ALTO ALEGRE DOS PARECIS,RO,Não Estamos,-12.1317772245709,-61.853077168603
ALTO ARAGUAIA,MT,Não Estamos,-17.3155899403964,-53.2202603299843
ALTO BELA VISTA,SC,Não Estamos,-27.4311378753286,-51.9110368540592
ALTO BOA VISTA,MT,Não Estamos,-11.6767451578561,-51.3793220737552
ALTO CAPARAÓ,MG,Não Estamos,-20.4443611209763,-41.873083740031
ALTO DO RODRIGUES,RN,Não Estamos,-5.293807787638,-36.7594926142107
ALTO FELIZ,RS,Não Estamos,-29.3901391668448,-51.3158156678408
ALTO GARÇAS,MT,Não Estamos,-16.9467221760397,-53.5284541196243
ALTO HORIZONTE,GO,Não Estamos,-14.1992268099335,-49.3327491561607
ALTO JEQUITIBÁ,MG,Não Estamos,-20.4229271109286,-41.967175112677
ALTO LONGÁ,PI,Não Estamos,-5.25099301135127,-42.210321962161
ALTO PARAGUAI,MT,Não Estamos,-14.5147118103311,-56.4944416625755
